Common,Royal,Monk
យើងជាស្ដេចផ្លាស់វង្សថ្មីគប្បីគិតឲ្យមានជាប់នៅកេរ្តិ៍ឈ្មោះទីដំណែលព្រះរាជធានីថ្មីតទៅទើបមានសេចក្ដីល្បីឮនាមច្បាស់ប្រាកដទៅក្នុងអនាគត។,យើងជាស្ដេចផ្លាស់វង្សថ្មីគប្បីគិតឲ្យមានជាប់នៅព្រះកេរ្តិ៍ទីដំណែលព្រះរាជធានីថ្មីតទៅទើបមានសេចក្ដីល្បីឮនាមច្បាស់ប្រាកដទៅក្នុងអនាគត។,យើងជាស្ដេចផ្លាស់វង្សថ្មីគប្បីគិតឲ្យមានជាប់នៅព្រះកេរ្តិ៍ទីដំណែលព្រះរាជធានីថ្មីតទៅទើបមានសេចក្ដីល្បីឮនាមច្បាស់ប្រាកដទៅក្នុងអនាគត។
លុះស្ដេចគិតយល់ដូច្នេះហើយស្ដេចបញ្ជាសម្ដេចចៅហ្វាកៅជាមាឲ្យកេណ្ឌប្រមូលរាស្ត្រប្រជាគ្រប់គ្រួលើកពីក្រុងបាសានទៅទិសខាងកើត។,លុះទ្រង់ព្រះតំរិះយល់ដូច្នេះហើយទ្រង់ត្រាស់បង្គាប់សម្ដេចចៅហ្វាកៅជាមាឲ្យកេណ្ឌប្រមូលរាស្ត្រប្រជាគ្រប់គ្រួលើកពីក្រុងបាសានទៅទិសខាងកើត។,លុះទ្រង់ព្រះតំរិះយល់ដូច្នេះហើយទ្រង់ត្រាស់បង្គាប់សម្ដេចចៅហ្វាកៅជាមាឲ្យកេណ្ឌប្រមូលរាស្ត្រប្រជាគ្រប់គ្រួលើកពីក្រុងបាសានទៅទិសខាងកើត។
លុះដល់ទៅភូមិចន្លក់ដូនតីព្រះស្រីជេដ្ឋាស្ដេចឲ្យធ្វើក្រុងហើយស្នាក់នៅទីនោះបាន៥ខែ។,លុះដល់ទៅភូមិចន្លក់ដូនតីព្រះស្រីជេដ្ឋាស្ដេចឲ្យសាងក្រុងហើយគង់នៅទីនោះបាន៥ខែ។,លុះដល់ទៅភូមិចន្លក់ដូនតីព្រះស្រីជេដ្ឋាស្ដេចឲ្យសាងក្រុងហើយគង់នៅទីនោះបាន៥ខែ។
ថ្ងៃមួយនោះគាត់ទៅពលីការទេវតានៅដើមព្រះពោធិ៍រួចហើយស្ដេចត្រឡប់មកផ្ទះវិញ។,ថ្ងៃមួយនោះព្រះអង្គទៅពលីការទេវតានៅដើមព្រះពោធិ៍រួចហើយស្ដេចត្រឡប់មកដំណាក់វិញ។,ថ្ងៃមួយនោះព្រះតេជគុណទៅពលីការទេវតានៅដើមព្រះពោធិ៍រួចហើយស្ដេចត្រឡប់មកដំណាក់វិញ។
យប់នោះស្ដេចដេកលក់ទៅយល់សប្ដិឃើញថា:ស្ដេចបានឮសន្ធឹកអ្វីពីទិសខាងលិចថាស្ដេចឈរមើលគ្រប់៥ម៉ោង,យប់នោះទ្រង់ផ្ទំលក់ទៅទ្រង់ព្រះសុបិននិមិត្តឃើញថា:ទ្រង់បានឮសន្ធឹកអ្វីពីទិសខាងលិចថាទ្រង់ឈរទតព្រះនេត្រគ្រប់៥ម៉ោង,យប់នោះទ្រង់ផ្ទំលក់ទៅទ្រង់ព្រះសុបិននិមិត្តឃើញថា:ទ្រង់បានឮសន្ធឹកអ្វីពីទិសខាងលិចថាទ្រង់ឈរទតព្រះនេត្រគ្រប់៥ម៉ោង
ឃើញខែរះប៉ប្រះមាត់ព្រៃហើយឃើញតាចាស់ម្នាក់ឈរនៅទីនោះស្រែកប្រាប់មកស្ដេចថា,ឃើញខែរះប៉ប្រះមាត់ព្រៃហើយឃើញតាចាស់ម្នាក់ឈរនៅទីនោះស្រែកប្រាប់មកព្រះអង្គថា,ឃើញខែរះប៉ប្រះមាត់ព្រៃហើយឃើញតាចាស់ម្នាក់ឈរនៅទីនោះស្រែកប្រាប់មកព្រះតេជគុណថា
ស្ដេចមិនត្រូវនៅទីនេះទេត្រូវតែនៅឯភូមិស្រឡប់ទើបបានសុខថាទៅមុខនឹងដឹងទៀត។,ស្ដេចពុំត្រូវនៅទីនេះទេត្រូវតែនៅឯភូមិស្រឡប់ទើបបានសុខថាទៅមុខគង់តែនឹងដឹងទៀត​។,ស្ដេចពុំត្រូវនៅទីនេះទេត្រូវតែនៅឯភូមិស្រឡប់ទើបបានសុខថាទៅមុខគង់តែនឹងដឹងទៀត​
លុះចប់ការយល់សប្ដិហើយស្ដេចភ្ញាក់ឡើងក៏យល់ថាព្រះអាទិត្យរៀងរះប្រពៃណាស់។,លុះចប់ព្រះសុបិននិមិត្តហើយស្ដេចតើនឡើងក៏យល់ថាព្រះអាទិត្យរៀងរះប្រពៃណាស់។,លុះចប់ព្រះសុបិននិមិត្តហើយស្ដេចតើនឡើងក៏យល់ថាព្រះអាទិត្យរៀងរះប្រពៃណាស់។
ពេលនោះស្ដេចចោលទីចន្លកហើយលើកគ្រប់គ្រួទៅនៅភូមិស្រឡប់ចុងខែត្រត្បូងឃ្មុំទល់ដែនខែត្របាភ្នំសមគួរជាទីពិជ័យភូមិល្អ។,ពេលនោះទ្រង់ចោលទីចន្លកហើយលើកគ្រប់គ្រួទៅនៅភូមិស្រឡប់ចុងខែត្រត្បូងឃ្មុំទល់ដែនខែត្របាភ្នំសមគួរជាទីពិជ័យភូមិល្អ។,ពេលនោះទ្រង់ចោលទីចន្លកហើយលើកគ្រប់គ្រួទៅនៅភូមិស្រឡប់ចុងខែត្រត្បូងឃ្មុំទល់ដែនខែត្របាភ្នំសមគួរជាទីពិជ័យភូមិល្អ។
នៅទីនោះស្ដេចរៀបចំលើកដីដុងឥដ្ឋដុតកំបោរដុតក្បឿងនិងស្បូវអំបែងតាក់តែងលើកកំផែងជីកគូជីកអូតាំងបន្ទាយធំខ្ពស់ក្រាស់ក្រួនមាំមួនធំទូលាយណាស់ល្មមធ្វើសឹកកាន់ឆ្នាំបាន។,នៅទីនោះទ្រង់ចាត់ការលើកដីដុងឥដ្ឋដុតកំបោរដុតក្បឿងនិងស្បូវអំបែងតាក់តែងលើកកំផែងជីកគូជីកអូតាំងបន្ទាយធំខ្ពស់ក្រាស់ក្រួនមាំមួនធំទូលាយណាស់ល្មមធ្វើសឹកកាន់ឆ្នាំបាន។,នៅទីនោះទ្រង់ចាត់ការលើកដីដុងឥដ្ឋដុតកំបោរដុតក្បឿងនិងស្បូវអំបែងតាក់តែងលើកកំផែងជីកគូជីកអូតាំងបន្ទាយធំខ្ពស់ក្រាស់ក្រួនមាំមួនធំទូលាយណាស់ល្មមធ្វើសឹកកាន់ឆ្នាំបាន។
លុះធ្វើការស្រេចហើយស្ដេចឲ្យធ្វើប្រាសាទផ្ទះ/ដំណាក់ត្រឡែងកែងចុងរោងរោងជួងរោងទងរោងទីនាំងរោងឃ្លាំងនិងសួនឧទ្យានមានគ្រប់ប្រការ។,លុះធ្វើការស្រេចហើយស្ដេចឲ្យសាងប្រាសាទព្រះរាជមន្ទីរត្រឡែងកែងចុងរោងរោងជួងរោងទងរោងទីនាំងរោងឃ្លាំងនិងសួនឧទ្យានមានគ្រប់ប្រការ។,លុះធ្វើការស្រេចហើយស្ដេចឲ្យសាងប្រាសាទព្រះរាជមន្ទីរត្រឡែងកែងចុងរោងរោងជួងរោងទងរោងទីនាំងរោងឃ្លាំងនិងសួនឧទ្យានមានគ្រប់ប្រការ។
ស្ដេចចាប់ធ្វើការតែពីរឆ្នាំបានរួចរាល់។,ស្ដេចចាប់ធ្វើការតែពីរឆ្នាំបានរួចជាស្រេច។,ស្ដេចចាប់ធ្វើការតែពីរឆ្នាំបានរួចជាស្រេច។
ការយាងចូលព្រះទិវង្គតរបស់ព្រះនាងជ័យរាជទេវី,ការយាងចូលព្រះទិវង្គតរបស់ព្រះនាងជ័យរាជទេវី,ការនិមន្តចូលព្រះទិវង្គតរបស់ព្រះនាងជ័យរាជទេវី
នាងតែងតែចាំមើលប្តីរាល់ថ្ងៃ។,ព្រះនាងតែងតែចាំមើលព្រះស្វាមីរាល់ថ្ងៃ។,នាងតែងតែចាំមើលប្តីរាល់ថ្ងៃ។
រឿងនាងសាន់ត្រា,រឿងព្រះនាងសាន់ត្រា,រឿងនាងសាន់ត្រា
កាលពីដើមឡើយមាននាងម្នាក់នៅផ្ទះមួយជាមួយនឹងគ្រួសារ។,កាលពីដើមឡើយមានព្រះនាងម្ចាស់នៅនគរមួយជាមួយនឹងរាជវង្ស។,កាលពីដើមឡើយមានព្រះនាងម្ចាស់នៅនគរមួយជាមួយនឹងរាជវង្ស។
គាត់សម្រាលបានកូនមួយនាក់។,ទ្រង់ប្រសូត្របានបុត្រីមួយអង្គ។,ទ្រង់ប្រសូត្របានបុត្រីមួយអង្គ។
មានឈ្មោះថាសាន់ដ្រា។,មានព្រះនាមថាព្រះនាងម្ចាស់សាន់ដ្រា។,មានព្រះនាមថាព្រះនាងម្ចាស់សាន់ដ្រា។
ពនាងសាន់ត្រាមានរូបសម្ផស្សស្រស់ស្អាតមានសក់ខ្មៅរលោង។,ព្រះនាងសាន់ត្រាមានរូបសម្ផស្សស្រស់ស្អាតមានព្រះកេសារខ្មៅរលោង។,ព្រះនាងសាន់ត្រាមានរូបសម្ផស្សស្រស់ស្អាតមានព្រះកេសារខ្មៅរលោង។
មានភ្នែកមូលក្រវង់មានព្រះសក់ក្រាស់មានច្រមុះស្រួច។,មានព្រះនេតមូលក្រវង់មានព្រះឧណ្ណាលោមក្រាស់មានមាននាសាស្រួច។,មានព្រះនេតមូលក្រវង់មានព្រះឧណ្ណាលោមក្រាស់មានមាននាសាស្រួច។
ចំណែកឯស្បែកពណ៌សណ្តែកបាយ។,ចំណែកឯជាលិលាបពណ៌សណ្តែកបាយ។,ចំណែកឯជាលិលាបពណ៌សណ្តែកបាយ។
នាងមានក្រចកវែងពីកំណើត។,ព្រះនាងមានព្រះនខាវែងពីកំណើត។,ព្រះនាងមានព្រះនខាវែងពីកំណើត។
ថ្ងៃមួយលោកគសុវណ្ណដែលជាស្តេចគាត់ធ្វើដំំណើទៅលេងព្រៃ។,ថ្ងៃមួយព្រះអង្គសុវណ្ណដែលជាស្ដេចទ្រង់យាងទៅប្រពាតប្រឹក្សា។,ថ្ងៃមួយព្រះតេជគុណសុវណ្ណដែលជាស្ដេចទ្រង់និមន្តទៅប្រពាតប្រឹក្សា។
ប្រពន្ធឈ្មោះធីតាក៏ធ្វើដំណើទៅជាមួយគាត់ដែរ។,ព្រះមហេសីធីតាក៏យាងទៅជាមួយព្រះអង្គដែរ។,ព្រះមហេសីធីតាក៏និមន្តទៅជាមួយព្រះតេជគុណដែរ។
ចំណែកឯកូនស្រីនៅព្រះរាជវាំងជាមួយព្រះបងស្រី។,ចំណែកឯបុត្រីនៅព្រះរាជវាំងជាមួយព្រះកនិដ្ឋា។,ចំណែកឯបុត្រីនៅព្រះរាជវាំងជាមួយព្រះកនិដ្ឋា។
ថ្ងៃនោះនាងដូចយំយ៉ាងខ្លាំង។,ថ្ងៃនោះព្រះនាងដូចព្រះកន្សែងយ៉ាងខ្លាំង។,ថ្ងៃនោះព្រះនាងដូចព្រះកន្សែងយ៉ាងខ្លាំង។
បងស្រីក៏ហៅតាយាយមកមើលប្អូនស្រី។,ព្រះកនិដ្ធាក៏យាងព្រះអយ្យកាអយ្យកោមកមើលព្រះអានុជ។,ព្រះកនិដ្ធាក៏និមន្តព្រះអយ្យកាអយ្យកោមកមើលព្រះអានុជ។
កូនស្រីតូចយំរហូតដល់ពុកនិងម្តាយធ្វើដំំណើមកផ្ទះវិញ។,ព្រះនាងព្រះកន្សែងរហូតដល់ព្រះអង្គនិងព្រះមហេសីយាងមករាជដំណាក់វិញ។,ព្រះនាងព្រះកន្សែងរហូតដល់ព្រះតេជគុណនិងព្រះមហេសីនិមន្តមករាជដំណាក់វិញ។
19ឆ្នាំកន្លងទៅនាងសាន់ត្រាពេញរូបពេញរាងជាកូនស្រីដែលចូលចិត្តការដេរប៉ាក់គណិតវិទ្យានិងសរសេរកូដ។,20ឆ្នាំកន្លងទៅព្រះនាងសិនត្រាពេញរូបពេញរាងជាបុត្រីមួយអង្គដែលចូលចិត្តការដេរប៉ាក់គណិតវិទ្យានិងសរសេរកូដ។,20ឆ្នាំកន្លងទៅព្រះនាងសិនត្រាពេញរូបពេញរាងជាបុត្រីមួយអង្គដែលចូលចិត្តការដេរប៉ាក់គណិតវិទ្យានិងសរសេរកូដ។
នាងបានប៉ាក់កន្សែងដៃមួយយ៉ាងស្អាតទៅជូនម្តាយ។,ព្រះនាងបានប៉ាក់កន្សែងដៃមួយយ៉ាងស្អាតទៅថ្វាយព្រះមាតា។,ព្រះនាងបានប៉ាក់កន្សែងដៃមួយយ៉ាងស្អាតទៅថ្វាយព្រះមាតា។
ម្តាយបានសរសើរទ្រង់ថាស្អាតនិងពេញចិត្តជាខ្លាំង។,ព្រះមាតាបានសរសើរទ្រង់ថាស្អាតនិងសព្វព្រះរាជហឫទ័យជាខ្លាំង។,ព្រះមាតាបានសរសើរទ្រង់ថាស្អាតនិងសព្វព្រះរាជហឫទ័យជាខ្លាំង។
នាងឈរនៅមុខផ្ទះមើលព្រៃព្រឹក្សា។,ព្រះនាងទ្រង់ស្ថិតនៅមុខដំណាក់មើលព្រៃព្រឹក្សា។,ព្រះនាងទ្រង់ស្ថិតនៅមុខដំណាក់មើលព្រៃព្រឹក្សា។
គាត់ឈានជើងទៅមុខក៏ជួបនឹងសត្វឆ្មាមួយក្បាល។,ទ្រង់ស្ដេចឈានព្រះបាទទៅមុខក៏ជួបនឹងសត្វឆ្មាមួយក្បាល។,ទ្រង់ស្ដេចឈានព្រះបាទទៅមុខក៏ជួបនឹងសត្វឆ្មាមួយក្បាល។
នាងញញឹមនិងលើកច្បារនោះបីជាប់នឹងដើមទ្រូង។,ទ្រង់ព្រះសិតាការៈនិងលើកច្បារនោះបីជាប់នឹងឧរា។,ទ្រង់ព្រះសិតាការៈនិងលើកច្បារនោះបីជាប់នឹងឧរា។
រួចនាងដើទៅផ្ទះវិញ។,រួចទ្រង់ព្រះរាជដំណើរទៅដំណាក់វិញ។,រួចទ្រង់ព្រះរាជដំណើរទៅដំណាក់វិញ។
គាត់ទុកឆ្មានោះឲ្យដេកលើគ្រែក្បែរគ្រែគេងដែលនាងគេង។,ទ្រងទុកឆ្មានោះឲ្យដេកលើគ្រែក្បែរក្រឡាបន្ទុំដែលទ្រង់ផ្ទំ។,ទ្រងទុកឆ្មានោះឲ្យដេកលើគ្រែក្បែរក្រឡាបន្ទុំដែលទ្រង់ផ្ទំ។
ដៃរបស់គាត់កាន់ឆ្មានោះជួប។,ព្រះហស្ថរបស់ទ្រង់កាន់ឆ្មានោះជួប។,ព្រះហស្ថរបស់ទ្រង់កាន់ឆ្មានោះជួប។
រាត្រីយប់នោះនាងព្រះសុបិនថាមានបុរសម្នាក់កំពុងដើរតាមនាងនៅកណ្ដាលព្រៃមួយ។,រាត្រីយប់នោះព្រះនាងព្រះសុបិនថាមានរាជបុត្រមួយអង្គកំពុងដើរតាមទ្រង់នៅកណ្ដាលព្រៃមួយ។,រាត្រីយប់នោះព្រះនាងព្រះសុបិនថាមានរាជបុត្រមួយអង្គកំពុងដើរតាមទ្រង់នៅកណ្ដាលព្រៃមួយ។
បុរសនិយាយថានាងពិតជាមានមុខស្រស់ស្អាត។,ព្រះអង្គមានព្រះបន្ទូលថាព្រះនាងពិតជាមានព្រះភ័ក្រស្រស់ស្អាត។,ព្រះតេជគុណមានព្រះបន្ទូលថាព្រះនាងពិតជាមានព្រះភ័ក្រស្រស់ស្អាត។
បុរសនិងនារីក៏ចាប់ចិត្តស្រលាញ់និងពេញចិត្តនឹងគ្នាទៅវិញទៅមក។,ព្រះអង្គនិងព្រះនាងក៏ចាប់ចិត្តប្រតិព័ទ្ធនិងសព្វព្រះរាជហឫទ័យនឹងគ្នាទៅវិញទៅមក។,ព្រះតេជគុណនិងព្រះនាងក៏ចាប់ចិត្តប្រតិព័ទ្ធនិងសព្វព្រះរាជហឫទ័យនឹងគ្នាទៅវិញទៅមក។
នាងហៅបងវង្សាថាប្តី។,ព្រះនាងហៅព្រះរាមវង្សាថាស្វាមី។,ព្រះនាងហៅព្រះរាមវង្សាថាស្វាមី។
សូមគោរពជម្រាបសួរសូមជូនពរ​​,សូមព្រះបរមរាជានុញ្ញាតក្រាបថ្វាយបង្គំថ្វាយព្រះពរ​​,សូមព្រះបរមរាជានុញ្ញាតក្រាបថ្វាយបង្គំថ្វាយព្រះពរ​​
សូមជូនពរយាយមានអាយុវែងកម្លាំងរឺងមាំ,សូមថ្វាយព្រះពរសម្ដេចយាយមានព្រះជន្មយឺនយូរ​ព្រះកាយពលរឺងមាំ,សូមថ្វាយព្រះពរសម្ដេចយាយមានព្រះជន្មយឺនយូរ​ព្រះកាយពលរឺងមាំ
គាត់និយាយពីកូនប្រុសស្រីទាំង៤នាក់របស់គាត់,ទ្រង់មានបន្ទូលពីបុត្រាបុត្រីទាំង៤អង្គរបស់ទ្រង់,ទ្រង់មានបន្ទូលពីបុត្រាបុត្រីទាំង៤អង្គរបស់ទ្រង់
គាត់កើតនៅថ្ងៃទី១៤ខែ​ឧសភាឆ្នាំ១៩៥៣,ព្រះអង្គប្រសូតនៅថ្ងៃទី១៤ខែ​ឧសភាឆ្នាំ១៩៥៣,ព្រះតេជគុណប្រសូតនៅថ្ងៃទី១៤ខែ​ឧសភាឆ្នាំ១៩៥៣
គាត់មានប្អូនបង្កើតតែម្នាក់គត់,ព្រះអង្គ​មាន​ព្រះអនុជ​បង្កើត​តែ​មួយ​អង្គគត់​,ព្រះតេជគុណ​មាន​ព្រះអនុជ​បង្កើត​តែ​មួយ​អង្គគត់​
គាត់មានបងនិងប្អូនម្តាយផ្សេងគ្នាសរុបចំនួន១៣នាក់,ព្រះអង្គមាន​ព្រះរៀម​និង​ព្រះអនុជ​ម្តាយទីទៃ​សរុប​ចំនួន​១៣​អង្គ,ព្រះតេជគុណមាន​ព្រះរៀម​និង​ព្រះអនុជ​ម្តាយទីទៃ​សរុប​ចំនួន​១៣​អង្គ
ឪពុករបស់គាត់បានលាលែងពីតំណែងកាលពីថ្ងៃទី០៧ខែតុលាឆ្នាំ២០០៤,ព្រះវររាជបិតារបស់ព្រះអង្គបានដាក់រាជ្យកាលពីថ្ងៃទី០៧ខែតុលាឆ្នាំ២០០៤,ព្រះវររាជបិតារបស់ព្រះតេជគុណបានដាក់រាជ្យកាលពីថ្ងៃទី០៧ខែតុលាឆ្នាំ២០០៤
ពិធីឡើងកាន់តំណែងជាផ្លូវការរបស់គាត់គឺត្រូវបានធ្វើឡើងនៅក្នុងវាំង,ព្រះ​រាជ​ពិធី​រាជាភិសេក​ព្រះ​អង្គ​ជា​ផ្លូវ​ការគឺ​ត្រូវ​បាន​ប្រារព្ធ​ឡើង​នៅ​ក្នុង​ព្រះ​បរម​រាជ​វាំង,ព្រះ​រាជ​ពិធី​រាជាភិសេក​ព្រះ​អង្គ​ជា​ផ្លូវ​ការគឺ​ត្រូវ​បាន​ប្រារព្ធ​ឡើង​នៅ​ក្នុង​ព្រះ​បរម​រាជ​វាំង
គាត់គឺជាកូនប្រុសច្បង,ព្រះអង្គជា​ព្រះ​រាជ​បុត្រ​ច្បង​,ព្រះតេជគុណជា​ព្រះ​រាជ​បុត្រ​ច្បង​
មុនពេលគាត់កើតម្ដាយរបស់គាត់មានដើមកំណើតជាសញ្ជាតិបារាំងអ៊ីតាលីនិង​ខ្មែរ,មុនពេល​​ព្រះប្រសូត្រ​ទ្រង់​និង​ព្រះអនុជ​របស់​ព្រះអង្គព្រះមាតា​របស់​ទ្រង់មាន​ដើម​កំណើតជាសញ្ជាតិបារាំងអ៊ីតាលីនិង​ខ្មែរ,មុនពេល​​ព្រះប្រសូត្រ​ទ្រង់​និង​ព្រះអនុជ​របស់​ព្រះតេជគុណព្រះមាតា​របស់​ទ្រង់មាន​ដើម​កំណើតជាសញ្ជាតិបារាំងអ៊ីតាលីនិង​ខ្មែរ
គាត់រស់នៅក្នុងប្រទេសឆេកូស្លូវ៉ាគី,ព្រះអង្គ​ស្តេច​គង់​នៅ​ប្រទេស​ឆេកូស្លូវ៉ាគី,ព្រះតេជគុណ​ស្តេច​គង់​នៅ​ប្រទេស​ឆេកូស្លូវ៉ាគី
ក្នុង​ឆ្នាំ​១៩៧៥គាត់បានចាកចេញពីទីក្រុងប្រាគ,ក្នុង​ឆ្នាំ​១៩៧៥ព្រះអង្គទ្រង់​យាង​ចាក​ចេញ​ពី​ទីក្រុង​ប្រាគ,ក្នុង​ឆ្នាំ​១៩៧៥ព្រះតេជគុណទ្រង់​និមន្ត​ចាក​ចេញ​ពី​ទីក្រុង​ប្រាគ
គាត់បានត្រឡប់មកកាន់ប្រទេសកំណើតវិញ,ព្រះអង្គ​យាង​មាតុភូមិ​និវត្តន៍​មក​កាន់​ប្រទេស​កំណើត​វិញ,ព្រះតេជគុណ​និមន្ត​មាតុភូមិ​និវត្តន៍​មក​កាន់​ប្រទេស​កំណើត​វិញ
គាត់ទទួលបានតួនាទីជាប្រធានសមាគមរបាំខ្មែរ,ព្រះអង្គបាន​ទទួល​ព្រះតួនាទី​ជា​ប្រធាន​សមាគម​របាំ​ខ្មែរ,ព្រះតេជគុណបាន​ទទួល​ព្រះតួនាទី​ជា​ប្រធាន​សមាគម​របាំ​ខ្មែរ
គាត់បានរស់នៅប្រទេសបារាំងជិត២០ឆ្នាំ,ព្រះអង្គ​ទ្រង់​គង់​នៅ​ប្រទេស​បារាំង​ជិត​២០​ឆ្នាំ,ព្រះតេជគុណ​ទ្រង់​គង់​នៅ​ប្រទេស​បារាំង​ជិត​២០​ឆ្នាំ
គាត់បានចំណាយពេលយ៉ាងច្រើនកាលពីនៅក្មេង,ព្រះអង្គ​បាន​ចំណាយ​ពេល​យ៉ាង​ច្រើន​ក្នុង​ព្រះជន្ម​ក្មេងវស្សា,ព្រះតេជគុណ​បាន​ចំណាយ​ពេល​យ៉ាង​ច្រើន​ក្នុង​ព្រះជន្ម​ក្មេងវស្សា
គាត់គឺជាស្ដេចតែមួយគត់ដែលអាចនិយាយភាសាឆេកបាន,ព្រះអង្គ​ជា​ព្រះមហាក្សត្រ​តែ​មួយ​គត់​ដែល​មាន​ព្រះរាជសមត្ថភាព​មាន​ព្រះរាជបន្ទូលជា​ភាសា​ឆេក,ព្រះតេជគុណ​ជា​ព្រះមហាក្សត្រ​តែ​មួយ​គត់​ដែល​មាន​ព្រះរាជសមត្ថភាព​មាន​ព្រះរាជបន្ទូលជា​ភាសា​ឆេក
ពួកទាហានខ្មែរក្រហមនឹងផ្ដល់បាយឱ្យពួកគេ,ពួកទាហានខ្មែរក្រហមនឹងផ្តល់ព្រះក្រយាដល់ពួកទ្រង់,ពួកទាហានខ្មែរក្រហមនឹងផ្តល់ព្រះក្រយាដល់ពួកទ្រង់
គាត់មានងារជាស្តេចផែនដីប្រទេសកម្ពុជា,ព្រះអង្គមានគោរម្យងារជា​ព្រះមហាក្សត្រស្ដេចផែនដីប្រទេសកម្ពុជា,ព្រះតេជគុណមានគោរម្យងារជា​ព្រះមហាក្សត្រស្ដេចផែនដីប្រទេសកម្ពុជា
គាត់បានផ្តោតលើសុខទុក្ខរបស់ប្រជាពលរដ្ឋខ្មែរ,ព្រះអង្គបានផ្តោតលើសុខុមាលភាពរបស់ប្រជាពលរដ្ឋខ្មែរ,ព្រះតេជគុណបានផ្តោតលើសុខុមាលភាពរបស់ប្រជាពលរដ្ឋខ្មែរ
គាត់បានផ្ដល់លុយចំនួនជាង១លានដុល្លារ,ព្រះអង្គបានប្រោសព្រះរាជទានថវិកាចំនួនជាង១លានដុល្លារ,ព្រះតេជគុណបានប្រោសព្រះរាជទានថវិកាចំនួនជាង១លានដុល្លារ
គាត់បានយកចិត្តទុកដាក់យ៉ាងខ្លាំងក្នុងទំនាក់ទំនងជាមួយបណ្ដាប្រទេសជាមិត្ត,ព្រះអង្គបានយកព្រះទ័យទុកដាក់យ៉ាងខ្លាំងក្នុងទំនាក់ទំនងជាមួយបណ្ដាប្រទេសជាមិត្ត,ព្រះតេជគុណបានយកព្រះទ័យទុកដាក់យ៉ាងខ្លាំងក្នុងទំនាក់ទំនងជាមួយបណ្ដាប្រទេសជាមិត្ត
លេខាផ្ទាល់របស់ឪពុកគាត់ក្នុងអំឡុងពេលដែលគាត់ស្នាក់នៅក្នុងប្រទេសចិន,ព្រះលេខាផ្ទាល់របស់ព្រះវររាជបិតាក្នុងកំឡុងពេលព្រះអង្គគង់ប្រថាប់នៅក្នុងប្រទេសចិន,ព្រះលេខាផ្ទាល់របស់ព្រះវររាជបិតាក្នុងកំឡុងពេលព្រះតេជគុណគង់ប្រថាប់នៅក្នុងប្រទេសចិន
គាត់បានដំឡើងឋានៈជាស្តេចក្រុមឃុន,ព្រះអង្គបានប្រោសប្រទានតម្លើងព្រះគោរម្យងារជា​ស្តេចក្រុមឃុន,ព្រះតេជគុណបានប្រោសប្រទានតម្លើងព្រះគោរម្យងារជា​ស្តេចក្រុមឃុន
គាត់មានកូនប្រុសមួយឈ្មោះជ័យវរ្ម័នទី៣ដែលបានឡើងកាន់តំណែងបន្តពីគាត់,ព្រះអង្គមានបុត្រមួយអង្គព្រះនាមព្រះបាទជ័យវរ្ម័នទី៣ដែលបានសោយរាជ្យបន្តពីព្រះអង្គ,ព្រះតេជគុណមានបុត្រមួយអង្គព្រះនាមព្រះបាទជ័យវរ្ម័នទី៣ដែលបានសោយរាជ្យបន្តពីព្រះតេជគុណ
គាត់ធ្វើស្ដេចនៅក្នុងព.ស១៣៤៥ត្រូវនឹងឆ្នាំ៨០២នៃគ.ស,ព្រះអង្គសោយរាជ្យនៅក្នុងព.ស១៣៤៥ត្រូវនឹងឆ្នាំ៨០២នៃគ.ស,ព្រះតេជគុណសោយរាជ្យនៅក្នុងព.ស១៣៤៥ត្រូវនឹងឆ្នាំ៨០២នៃគ.ស
គាត់បានទៅទីក្រុងប្រាគជាញឹកញាប់,​ព្រះអង្គ​បាន​យាង​ទៅ​ទីក្រុង​ប្រាគ​ជា​រឿយៗ,​ព្រះតេជគុណ​បាន​និមន្ត​ទៅ​ទីក្រុង​ប្រាគ​ជា​រឿយៗ
គាត់ឈប់យកពន្ធដារទៅឱ្យស្តេចជ្វាដូចមុន,ព្រះអង្គឈប់យកសួយសារអាករទៅថ្វាយស្តេចជ្វាដូចមុន,ព្រះតេជគុណឈប់យកសួយសារអាករទៅថ្វាយស្តេចជ្វាដូចមុន
កូនសូមជម្រាបសួរម៉ែនិងឪពុកដោយក្ដីនឹករលឹក,បុត្រសូមក្រាបថ្វាយបង្គំព្រះមាតាព្រះបិតាជាទីនឹករលឹកដ៏ជ្រាលជ្រៅ,បុត្រសូមក្រាបថ្វាយបង្គំព្រះមាតាព្រះបិតាជាទីនឹករលឹកដ៏ជ្រាលជ្រៅ
កូនបានមករស់នៅក្នុងទីក្រុងប៉ារីសប្រទេសបារាំងដើម្បីបន្តការសិក្សា,បុត្របានមករស់នៅក្នុងទីក្រុងប៉ារីសប្រទេសបារាំងដើម្បីបន្តការសិក្សា,បុត្របានមករស់នៅក្នុងទីក្រុងប៉ារីសប្រទេសបារាំងដើម្បីបន្តការសិក្សា
